(playable-blip) (base) pool@pool-geek:/media/pool/PLAYABLE-D/work/tests$ python blip.py 
[device] cuda | mps_built=False | mps_available=False
[00:02:15] a black and white photo of a desert  (0.272s)
[00:06:11] a group of men riding horses in the desert  (0.066s)
[00:06:13] a man in a hat and a man in a cowboy hat on a horse  (0.101s)
[00:06:15] two men in cowboy hats talking to each other men  (0.072s)
[00:06:17] a group of men riding horses on a mountain  (0.067s)
[00:06:19] two men riding horses on a rocky trail  (0.063s)
[00:06:21] a man riding on the back of a horse  (0.068s)
[00:06:23] a man riding a horse in the desert  (0.062s)
[00:06:25] a man and two boys standing in front of a rock  (0.078s)
[00:06:27] a man and two boys standing in front of a rock formation  (0.083s)
[00:06:29] a man and two boys standing in front of a rock  (0.078s)
[00:06:31] a group of horses pulling a wagon through a desert  (0.071s)
[00:06:33] a man and two boys standing in front of rocks  (0.070s)
[00:06:35] a black and white photo of a mountain range  (0.066s)
[00:06:37] a black and white photo of a tree in a field  (0.079s)
[00:06:39] a black and white photo of a horse in a field  (0.078s)
[00:06:41] a man and two boys standing in front of rocks  (0.074s)
[00:06:43] a black and white photo of a desert with a herd of camels  (0.092s)
[00:06:45] a black and white photo of a desert with people  (0.074s)
[00:06:47] a black and white photo of a desert with many animals  (0.075s)
[00:06:49] a herd of goats grazing in the desert  (0.061s)
[00:06:51] a man in a hat and coat standing next to a horse  (0.080s)
[00:06:53] a man in a hat and coat standing next to a horse drawn wagon  (0.091s)
[00:06:55] a man in a hat and coat standing next to a horse  (0.083s)
[00:06:57] a man in a hat and pants is walking through a field  (0.081s)
[00:06:59] a man walking across a field with a dog  (0.069s)
[00:07:01] a man in a desert with a dog  (0.063s)
[00:07:03] a man walking through a desert with a herd of sheep  (0.081s)
[00:07:05] a black and white photo of a mountain  (0.066s)
[00:07:07] a herd of cattle in the desert  (0.059s)
[00:07:09] a herd of cattle in the desert  (0.059s)
[00:07:11] a black and white photo of a desert  (0.063s)
[00:07:13] a woman standing outside of a house  (0.060s)
[00:07:15] a woman standing on a porch in the desert  (0.067s)
[00:07:17] a black and white photo of a small house  (0.069s)
[00:07:19] a man standing in front of a small house  (0.069s)
[00:07:21] a man walking past a small house in the desert  (0.075s)
[00:07:23] a man and woman are standing in front of a house  (0.079s)
[00:07:25] a woman in a dress walking down a dirt road  (0.072s)
[00:07:27] a woman in a dress standing in front of a house  (0.078s)
[00:07:29] a woman standing in front of a fence  (0.065s)
[00:07:31] a woman standing in front of a fence  (0.063s)
[00:07:33] a man and woman walking through a dirt covered area  (0.071s)
[00:07:35] a woman standing in a field with a dog  (0.067s)
[00:07:37] a woman in a dress standing in a field  (0.069s)
[00:07:39] a woman and a man in a field  (0.064s)
[00:07:41] a woman and two children standing in the desert  (0.069s)
[00:07:43] a woman and two children standing in the desert  (0.067s)
[00:07:45] a woman and two children standing in the desert  (0.069s)
[00:07:47] a woman and two children standing in the desert  (0.068s)
[00:07:49] a man in a hat and a cowboy standing next to a fence  (0.088s)
[00:07:51] a woman and two children standing in the desert  (0.069s)
[00:07:53] a man and a woman walking through the desert  (0.069s)
[00:07:55] a woman in a dress and hat walks with two children  (0.075s)
[00:07:57] a man and woman standing next to a horse  (0.067s)
[00:07:59] a man and woman standing next to a horse  (0.068s)
[00:08:01] a man and woman standing next to a horse  (0.068s)
[00:08:03] a man and woman standing next to a horse  (0.074s)
[00:08:05] two boys standing in the desert with their hands on their hipss  (0.090s)
[00:08:07] a boy and a girl standing in the desert  (0.067s)
[00:08:09] a man and woman looking at each other people  (0.067s)
[00:08:11] a woman in a hat and a man in a suit  (0.076s)
[00:08:13] a woman in a hat and a man in a cowboy hat  (0.081s)
[00:08:15] a man and woman standing next to a horse  (0.065s)
[00:08:17] a woman standing next to a horse in the desert  (0.071s)
[00:08:19] a woman standing next to a fence with horses  (0.068s)
[00:08:21] a man standing on a porch next to a building  (0.073s)
[00:08:23] a woman in a dress walking down a wooden walkway  (0.076s)
[00:08:25] a man in a cowboy hat standing in front of a building  (0.083s)
[00:08:27] a man and woman are standing in front of a wall  (0.082s)
[00:08:29] a woman standing next to a man in a barn  (0.073s)
[00:08:31] a man and woman in a blacksmith shop  (0.065s)
[00:08:33] a man and a little girl in a barn  (0.068s)
[00:08:35] a man and a woman in a room  (0.065s)
[00:08:37] a woman in a shirt talking to another woman  (0.067s)
[00:08:39] a woman in a shirt and a man in a suit  (0.078s)
[00:08:41] a woman in a shirt talking to another woman  (0.065s)
[00:08:43] a woman in a floral shirt is talking to another woman  (0.079s)
[00:08:45] a woman in a robe is talking to another woman  (0.073s)
[00:08:47] a woman sitting on a bench with a child  (0.069s)
[00:08:49] a man and woman in a barn  (0.058s)
[00:08:51] a man and woman in a kitchen  (0.059s)
[00:08:53] a man is standing in front of a building  (0.070s)
[00:08:55] a man and woman standing in front of a house  (0.076s)
[00:08:57] a man and woman standing in front of a house  (0.072s)
[00:08:59] a woman with a spoon in her hand  (0.063s)
[00:09:01] a woman in a dress holding a knife  (0.063s)
[00:09:03] a woman in a dress standing next to a man  (0.072s)
[00:09:05] a man and woman talking in a cabin  (0.065s)
[00:09:07] a man and woman sitting in front of a log cabin  (0.078s)
[00:09:09] a man and woman are sitting at a table  (0.068s)
[00:09:11] a woman in a dress and a man in a suit  (0.080s)
[00:09:13] a man and woman are standing in front of a log  (0.076s)
[00:09:15] a woman in a dress standing next to a fence  (0.075s)
[00:09:17] a woman in a floral shirt stands next to a horse  (0.079s)
[00:09:19] a man and woman standing next to each other people  (0.075s)
[00:09:21] a woman standing next to a man in a barn  (0.074s)
[00:09:23] a man and woman standing in front of a wooden structure  (0.078s)
[00:09:25] a man and woman standing in front of a building  (0.074s)
[00:09:27] a man and woman are standing in front of a wooden structure  (0.083s)
[00:09:29] a man and woman standing in front of a building  (0.073s)
[00:09:31] a man and woman are sitting on the ground  (0.068s)
[00:09:33] a man and woman standing in front of a wooden building  (0.080s)
[00:09:35] a man and woman are sitting on a bench  (0.069s)
[00:09:37] a man and woman are sitting outside a cabin  (0.068s)
[00:09:39] a man and woman standing in front of a building  (0.074s)
[00:09:41] a man and woman are working on a piece of wood  (0.078s)
[00:09:43] a man and woman sitting on a bench  (0.063s)
[00:09:45] a man and woman are working on a piece of wood  (0.078s)
[00:09:47] a man and woman in a barn  (0.058s)
[00:09:49] a woman sitting on a bench with her eyes closed  (0.071s)
[00:09:51] a man and a dog in a scene from the film  (0.076s)
[00:09:53] a man sitting on a bench with a dog  (0.068s)
[00:09:55] a man sitting next to a dog  (0.059s)
[00:09:57] a man sitting next to a dog  (0.058s)
[00:09:59] a woman with a cigarette in her mouth  (0.063s)
[00:10:01] a woman with a cigarette in her mouth  (0.063s)
[00:10:03] a woman with a cigarette in her mouth  (0.065s)
[00:10:05] a woman with a cigarette in her mouth  (0.062s)
[00:10:07] a woman sitting at a table with a bottle of wine  (0.079s)
[00:10:09] a man and woman are sitting on a bench  (0.069s)
[00:10:11] a man and woman in a barn  (0.058s)
[00:10:13] a man and woman standing in front of a building  (0.075s)
[00:10:15] a woman standing next to a man in a cabin  (0.075s)
[00:10:17] a man and woman standing in front of a cabin  (0.078s)
[00:10:19] a man and woman standing in front of a building  (0.074s)
[00:10:21] a man and woman standing in front of a building  (0.074s)
[00:10:23] a man and woman standing in front of a building  (0.072s)
[00:10:25] a man and woman standing in front of a horse  (0.077s)
[00:10:27] a man and woman standing in front of a store  (0.072s)
[00:10:29] a man is leading a horse through the desert  (0.067s)
[00:10:31] a man is walking a horse in the desert  (0.066s)
[00:10:33] a man is riding a horse in the desert  (0.070s)
[00:10:35] a man and woman walking through a dirt covered area  (0.073s)
[00:10:37] a group of people standing around a horse  (0.063s)
[00:10:39] a man and woman standing next to a horse  (0.068s)
[00:10:41] a man and woman standing next to a horse  (0.069s)
[00:10:43] a group of people standing around a horse  (0.062s)
[00:10:45] a man and woman standing next to a horse  (0.065s)
[00:10:47] a man standing next to a horse in a field  (0.072s)
[00:10:49] a man standing next to a horse in a field  (0.070s)
[00:10:51] a man standing next to a horse in a field  (0.072s)
[00:10:53] a man on a horse  (0.046s)
[00:10:55] a woman with a child in her lap  (0.063s)
[00:10:57] a man in a hat riding a horse  (0.063s)
[00:10:59] a man in a hat riding on top of a horse  (0.077s)
[00:11:01] a man in a hat riding on top of a horse  (0.081s)
[00:11:03] a woman in a dress is sitting on a bench  (0.074s)
[00:11:05] a man in a hat and coat sitting on a horse  (0.080s)
[00:11:07] a man in a hat and coat sitting on a horse  (0.079s)
[00:11:09] a man in a hat and coat sitting on a horse  (0.081s)
[00:11:11] a woman sitting on the ground with other people  (0.067s)
[00:11:13] a woman sitting on the ground with other people  (0.067s)
[00:11:15] a man in a hat riding on top of a horse  (0.079s)
[00:11:17] a man in a hat riding on top of a horse  (0.078s)
[00:11:19] a man and woman are standing under a covered structure  (0.074s)
[00:11:21] a woman standing under a tree in a desert  (0.069s)
[00:11:23] a black and white photo of people on horses  (0.071s)
[00:11:25] a black and white photo of a man and woman walking down a dirt road  (0.099s)
[00:11:27] a black and white photo of a man and woman in a desert  (0.088s)
[00:11:29] a black and white photo of a man standing in front of a train  (0.097s)
[00:11:31] a black and white photo of people in a field  (0.073s)
[00:11:33] a black and white photo of a train  (0.063s)
[00:11:35] a black and white photo of a desert  (0.063s)
[00:11:37] a group of people walking through the desert  (0.063s)
[00:11:39] a group of people walking through the desert  (0.061s)
[00:11:41] a group of people riding horses through a desert  (0.068s)
[00:11:43] a black and white photo of a tree  (0.062s)
[00:11:45] a man riding a horse in the desert  (0.064s)
[00:11:47] a man riding a horse in front of a house  (0.078s)
[00:11:49] a black and white photo of a man on a horse  (0.080s)
[00:11:51] a black and white photo of a man on a horse  (0.078s)
[00:11:53] a black and white photo of a cowboy riding a horse  (0.080s)
[00:11:55] a black and white photo of a man on a horse  (0.077s)
[00:11:57] a black and white photo of a man on a horse  (0.080s)
[00:11:59] a man standing next to a wheel and a dog  (0.078s)
[00:12:01] a man in a cowboy hat standing next to a horse  (0.077s)
[00:12:03] a man in a cowboy hat standing next to a horse  (0.075s)
[00:12:05] a man in a cowboy hat standing next to a horse  (0.078s)
[00:12:07] a group of men standing outside of a building  (0.068s)
[00:12:09] a man in a hat is behind a gate  (0.066s)
[00:12:11] a man sitting at a bar with a bar top  (0.073s)
[00:12:13] a man sitting at a bar with a woman standing behind him  (0.082s)
[00:12:15] a man in a cowboy hat and coat  (0.063s)
[00:12:17] a man sitting at a bar in a pub  (0.067s)
[00:12:19] a man in a cowboy hat standing at a bar  (0.071s)
[00:12:21] a man in a cowboy hat and a man in a suit  (0.086s)
[00:12:23] a group of men standing around a bar  (0.062s)
[00:12:25] a man in a hat and a man in a hat at a bar  (0.091s)
[00:12:27] a man in a bar with a hat and a hat on  (0.083s)
[00:12:29] a group of men sitting at a bar  (0.062s)
[00:12:31] a group of men sitting at a bar  (0.062s)
[00:12:33] a group of people sitting around a table  (0.062s)
[00:12:35] the lone man, from left, person, person, person, person, person, person, person  (0.117s)
[00:12:37] the western western series, starring from left, is shown in the western western western series  (0.113s)
[00:12:39] the lone man, from left, person, person, person, person, person, person, person  (0.119s)
[00:12:41] a man and woman sitting at a table  (0.063s)
[00:12:43] a man and woman sitting at a table in a bar  (0.078s)
[00:12:45] a group of people sitting at a table  (0.064s)
[00:12:47] a man and woman sitting at a bar  (0.063s)
[00:12:49] a man and woman sitting at a bar  (0.065s)
[00:12:51] a man and woman sitting at a bar  (0.065s)
[00:12:53] a man and woman sitting at a bar  (0.063s)
[00:12:55] two men in cowboy hats talking  (0.051s)
[00:12:57] two men in cowboy hats talking  (0.054s)
[00:12:59] two men in cowboy hats talking  (0.053s)
[00:13:01] two men in cowboy hats talking  (0.053s)
[00:13:03] two men in cowboy hats talking  (0.056s)
[00:13:05] a group of men sitting at a bar  (0.062s)
[00:13:07] the western western western western western western western film  (0.069s)
[00:13:09] a group of people sitting at a bar  (0.062s)
[00:13:11] person and person in the man from uncle ' s farm  (0.078s)
[00:13:13] a man and woman sitting at a bar  (0.060s)
[00:13:15] person and person in the man from uncle ' s farm 1955  (0.083s)
[00:13:17] a man and woman sitting at a bar  (0.061s)
[00:13:19] a man and woman sitting at a bar  (0.062s)
[00:13:21] two men in cowboy hats sit on a bench  (0.071s)
[00:13:23] a woman in a hat and a man in a suit  (0.079s)
[00:13:25] a woman in a hat and a man in a suit  (0.077s)
[00:13:27] a woman in a hat looking at another  (0.064s)
[00:13:29] two men in cowboy hats sit on a bench  (0.065s)
[00:13:31] a woman in a hat looking at another  (0.061s)
[00:13:33] two men in cowboy hats sit on a bench  (0.068s)
[00:13:35] two men in cowboy hats sit on a bench  (0.068s)
[00:13:37] a woman in a hat and a man in a suit  (0.077s)
[00:13:39] two men in cowboy hats smoking cigarettes  (0.056s)
[00:13:41] two men in cowboy hats sit on a bench  (0.068s)
[00:13:43] a woman in a hat and a man in a suit  (0.077s)
[00:13:45] two men in cowboy hats sitting on a bench  (0.068s)
[00:13:47] a woman in a hat and a man in a suit  (0.079s)
[00:13:49] a man in a hat is sitting at a table  (0.076s)
[00:13:51] a man in a hat and a woman in a dress  (0.081s)
[00:13:53] a woman in a hat and striped shirt looking at another  (0.081s)
[00:13:55] a woman in a hat and a man in a suit  (0.078s)
[00:13:57] a woman in a hat and a man in a suit  (0.079s)
[00:13:59] a woman in a hat talking to a man  (0.067s)
[00:14:01] a man in a cowboy hat sitting at a table  (0.073s)
[00:14:03] a man in a cowboy hat smoking a cigarette  (0.069s)
[00:14:05] a woman in a hat and a man in a suit  (0.080s)
[00:14:07] a woman in a hat and a man in a suit  (0.080s)
[00:14:09] two men in cowboy hats sitting on a bench  (0.067s)
[00:14:11] the lone man, from left, john wayne, john wayne, and mary anne  (0.110s)
[00:14:13] the western western series, from left, person, person, person, person, person, person,  (0.121s)
[00:14:15] the lone man, from left, john wayne, john wayne, and mary anne  (0.107s)
[00:14:17] the western western series, from left, person, person, person, person, person, and person  (0.119s)
[00:14:19] the man in the hat is talking to two women  (0.073s)
[00:14:21] the man in the hat is talking to two women  (0.073s)
[00:14:23] a man and woman sitting at a table  (0.063s)
[00:14:25] a man in a cowboy hat talking to two women  (0.074s)
[00:14:27] a man and woman sitting at a table  (0.066s)
[00:14:29] the three men are talking to each other people  (0.069s)
[00:14:31] the three men are talking to each other people  (0.068s)
[00:14:33] the three men and one woman are sitting at a table  (0.076s)
[00:14:35] the three men are talking to each other people  (0.066s)
[00:14:37] the three men are talking to each other men  (0.066s)
[00:14:39] the three men are talking to each other men  (0.065s)
[00:14:41] the three men are sitting at a table  (0.061s)
[00:14:43] the three men and one woman are sitting at a table  (0.075s)
[00:14:45] the man in the hat is talking to a woman  (0.072s)
[00:14:47] the three men are sitting at a table  (0.064s)
[00:14:49] the man who knew the woman  (0.055s)
[00:14:51] a woman in a striped shirt and hat talking to two men  (0.089s)
[00:14:53] a woman in a striped shirt and hat talking to two men  (0.086s)
[00:14:55] a man in a cowboy hat sitting at a table  (0.073s)
[00:14:57] a man in a cowboy hat sitting at a table  (0.071s)
[00:14:59] two men in cowboy hats sit at a table  (0.068s)
[00:15:01] a woman in a striped shirt is standing in front of a bar  (0.089s)
[00:15:03] a woman in a striped shirt sitting at a table  (0.071s)
[00:15:05] a woman in a striped shirt is looking at the camera  (0.078s)
[00:15:07] a woman in a striped shirt is looking at the camera  (0.078s)
[00:15:09] the three men are sitting at a table  (0.064s)
[00:15:11] the three men are sitting at a table  (0.063s)
[00:15:13] three men sitting at a table with bottles of wine  (0.075s)
[00:15:15] two men sitting at a table in a room  (0.067s)
[00:15:17] two men in cowboy hats sitting at a table  (0.068s)
[00:15:19] two men sitting at a table in a room  (0.069s)
[00:15:21] a man in a suit and tie standing in front of a wall  (0.088s)
[00:15:23] a man in a suit and tie standing in a room  (0.078s)
[00:15:25] a man in a suit and tie standing in a room  (0.077s)
[00:15:27] three men in cowboy hats smoking cigarettes  (0.059s)
[00:15:29] the three men in the western western western western western film  (0.077s)
[00:15:31] the three men in the western western western western western film  (0.082s)
[00:15:33] the three men in the western western western western series  (0.076s)
[00:15:35] the three men in the western western western series  (0.070s)
[00:15:37] the three men in the western western western series  (0.068s)
[00:15:39] the three men in the western western western series  (0.066s)
[00:15:41] the three men are talking in a room  (0.062s)
[00:15:43] the three men in the western western western western series  (0.071s)
[00:15:45] the lone man, from left, person, person, person, person, person, person, person  (0.121s)
[00:15:47] the lone man, from left, john wayne, john wayne, and john wayne  (0.106s)
[00:15:49] a man in a cowboy hat and a group of people  (0.080s)
[00:15:51] a man in a cowboy hat talking to another man  (0.074s)
[00:15:53] a man in a cowboy hat and vest standing next to another man in a bar  (0.100s)
[00:15:55] a man in a hat and vest standing in front of a bar  (0.090s)
[00:15:57] two men in cowboy hats are talking  (0.060s)
[00:15:59] a group of men sitting at a bar  (0.065s)
[00:16:01] a woman in a dress and hat standing at a bar  (0.079s)
[00:16:03] a man in a cowboy hat and vest standing next to another man in a bar  (0.106s)
[00:16:05] the three men and two women are sitting at a bar  (0.078s)
[00:16:07] the three men are sitting at a bar  (0.064s)
[00:16:09] the three men and two women are sitting at a bar  (0.078s)
[00:16:11] a man in a cowboy hat and vest talking to another man in a vest  (0.099s)
[00:16:13] the western western series, from left, person, person, person, person, and person  (0.111s)
[00:16:15] a man and woman are sitting at a bar  (0.069s)
[00:16:17] the western western series, from left, person, person, person, person, person, and person  (0.117s)
[00:16:19] a group of people sitting at a bar  (0.063s)
[00:16:21] a man and woman sitting at a bar  (0.061s)
[00:16:23] a man in a black shirt and jeans standing in front of a wall  (0.096s)
[00:16:25] a man in a cowboy hat standing next to a bar  (0.081s)
[00:16:27] a group of men riding horses in a dirt field  (0.076s)
[00:16:29] a wooden building with a window and a sign  (0.069s)
[00:16:31] a black and white photo of a barn  (0.066s)
[00:16:33] a man standing on the side of a building  (0.068s)
[00:16:35] a man sleeping in bed  (0.048s)
[00:16:37] a man sleeping in bed with a bottle of beer  (0.073s)
[00:16:39] a man sleeping in a bed with his head on the pillow  (0.084s)
[00:16:41] a group of men in cowboy hats standing around a sign  (0.078s)
[00:16:43] a group of men in cowboy hats standing around a sign  (0.082s)
[00:16:45] a group of men in cowboy hats standing next to each other men  (0.088s)
[00:16:47] a man in a cowboy hat and a man in a suit  (0.084s)
[00:16:49] a man riding on the back of a horse next to a truck  (0.090s)
[00:16:51] a black and white photo of two men on horses  (0.076s)
[00:16:53] a group of men riding horses in a town  (0.071s)
[00:16:55] the lone riders  (0.037s)
[00:16:57] the lone riders  (0.039s)
[00:16:59] the lone riders  (0.037s)
[00:17:01] the lone riders  (0.037s)
[00:17:03] the lone riders  (0.037s)
[00:17:05] two men in cowboy hats stand next to each other men  (0.080s)
[00:17:07] three men in cowboy hats stand outside a building  (0.067s)
[00:17:09] two men in cowboy hats stand outside a building  (0.068s)
[00:17:11] a man in a cowboy hat and jacket walking down the street  (0.086s)
[00:17:13] a group of men riding horses in a town  (0.068s)
[00:17:15] a black and white photo of a man riding a horse  (0.078s)
[00:17:17] a group of men riding horses down a street  (0.069s)
[00:17:19] a group of men riding horses in a dirt field  (0.073s)
[00:17:21] a man riding a horse through a tunnel  (0.063s)
[00:17:23] two men riding horses in the desert  (0.058s)
[00:17:25] two men riding horses in the desert  (0.059s)
[00:17:27] two men riding horses in a field  (0.057s)
[00:17:29] a man riding on the back of a horse  (0.069s)
[00:17:31] a man riding a horse next to a horse  (0.068s)
[00:17:33] two men riding horses on a dirt road  (0.061s)
[00:17:35] a group of people riding horses down a dirt road  (0.075s)
[00:17:37] a man riding a horse down a dirt road  (0.069s)
[00:17:39] a group of men riding horses in a town  (0.069s)
[00:17:41] a black and white photo of a man on a horse  (0.078s)
[00:17:43] a group of people riding horses in the desert  (0.067s)
[00:17:45] two men riding horses in the desert  (0.057s)
[00:17:47] a man in a cowboy hat standing next to a horse  (0.078s)
[00:17:49] a man standing next to a horse  (0.057s)
[00:17:51] a woman standing next to a wooden fence  (0.062s)
[00:17:53] a man in a cowboy hat standing next to a horse  (0.075s)
[00:17:55] a man standing next to a horse  (0.059s)
[00:17:57] a man standing next to a horse  (0.058s)
[00:17:59] a man in a cowboy hat standing next to a horse  (0.079s)
[00:18:01] a man in a cowboy hat and jacket  (0.063s)
[00:18:03] a man and woman standing next to each other people  (0.076s)
[00:18:05] a man and woman standing next to each other people  (0.073s)
[00:18:07] a man and woman standing next to each other people  (0.072s)
[00:18:09] a man and woman standing next to each other people  (0.072s)
[00:18:11] a man and woman standing next to each other people  (0.071s)
[00:18:13] a man and woman standing next to each other people  (0.073s)
[00:18:15] a man and woman standing next to each other people  (0.073s)
[00:18:17] a man and woman standing next to each other people  (0.072s)
[00:18:19] a man and woman standing next to each other people  (0.077s)
[00:18:21] a man and woman standing next to each other people  (0.074s)
[00:18:23] a man in a cowboy hat standing next to a horse  (0.079s)
[00:18:25] a man in a cowboy hat standing next to a horse  (0.077s)
[00:18:27] a man in a cowboy hat standing next to a horse  (0.076s)
[00:18:29] a man in a cowboy hat standing next to a horse  (0.077s)
